"gene","samplename","normalized_counts","group"
"ENSG00000204019","TCGA-G2-AA3B-01A-11R-A39I-07",7.46954849239599,"Tumor"
"ENSG00000228437","TCGA-G2-AA3B-01A-11R-A39I-07",4.27879428983546,"Tumor"
"ENSG00000229035","TCGA-G2-AA3B-01A-11R-A39I-07",4.02868853478176,"Tumor"
"ENSG00000233532","TCGA-G2-AA3B-01A-11R-A39I-07",4.02868853478176,"Tumor"
"ENSG00000237412","TCGA-G2-AA3B-01A-11R-A39I-07",3.68320245492119,"Tumor"
"ENSG00000250920","TCGA-G2-AA3B-01A-11R-A39I-07",3.68320245492119,"Tumor"
"ENSG00000260887","TCGA-G2-AA3B-01A-11R-A39I-07",6.42537426949847,"Tumor"
"ENSG00000266976","TCGA-G2-AA3B-01A-11R-A39I-07",5.5901323354063,"Tumor"
"ENSG00000269586","TCGA-G2-AA3B-01A-11R-A39I-07",4.58471899199317,"Tumor"
"ENSG00000101441","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000123500","TCGA-CU-A0YN-11A-11R-A10U-07",5.8853375734588,"Normal"
"ENSG00000126890","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000145321","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000159217","TCGA-CU-A0YN-11A-11R-A10U-07",4.1969056464075,"Normal"
"ENSG00000163586","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000167754","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000170373","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000171560","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000171564","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000181433","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000184330","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000185479","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000186847","TCGA-CU-A0YN-11A-11R-A10U-07",4.56393032758271,"Normal"
"ENSG00000187172","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000203857","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000204019","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000228437","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000229035","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000233532","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000237412","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
